,tmdb_id,soup
72,791373,action adventure fantasy savetheworld superhero resurrection baseoncomic superheroteam actionhero dcextenduniverse(dceu) superheroteamup benaffleck henrycavill galgadot jasonmomoa ezramiller rayfisher zacksnyder zacksnyder zacksnyder
73,641,crime drama drugdealer corruption drugabuse unsociability degradation insanity heroin drugaddiction junkie hallucination speed surrealism illusion fondle druguse grief marijuana postmodern psychiatrist illegalprostitution bitterness hatred decadence marijuanajoint boyfriendgirlfriendrelationship eatdisorder voyeurism signlanguage hospitalization incarceration gaytheme lesbian drugaddict cultfilm ellenburstyn jaredleto jenniferconnelly marlonwayans christophermcdonald seangullette darrenaronofsky darrenaronofsky darrenaronofsky
74,381284,drama history mathematic sexism biography racialsegregation racism historicalfiction scientist discrimination 1960 africanamericanhistory tarajip.henson octaviaspencer janellemonáe kevincostner kirstendunst jimparsons theodoremelfi theodoremelfi theodoremelfi
75,4935,fantasy animation adventure witch fly rain castle scarecrow bakery curse steampunk demon anime baseonyoungadultnovel chiekobaisho takuyakimura akihiromiwa tatsuyagashûin ryunosukekamiki mitsunoriisaki hayaomiyazaki hayaomiyazaki hayaomiyazaki
76,515001,comedy war drama baseonnovelorbook worldwarii jewpersecution satire imaginaryfriend gayinterest singlemother nazism 1940 childprotagonist adolfhitler childinwartime romangriffindavis thomasinmckenzie scarlettjohansson taikawaititi samrockwell rebelwilson taikawaititi taikawaititi taikawaititi
77,264644,drama thriller baseonnovelorbook escape isolation carpet kidnapping imprisonment hospital dog child'sperspective mothersonrelationship brielarson jacobtremblay joanallen williamh.macy seanbridgers tommccamus lennyabrahamson lennyabrahamson lennyabrahamson
78,337404,comedy crime 1970s antihero villain punkrock fashiondesigner fashion originstory liveactionremake emmastone emmathompson joelfry paulwalterhauser markstrong tipperseifert-cleveland craiggillespie craiggillespie craiggillespie
79,423,drama war concert nazi resistance homeland holocaust(shoah) worldwarii prisonerofwar ghetto deportation jewpersecution liberation biography survival baseonmemoirorautobiography pianist poland adrienbrody thomaskretschmann frankfinlay maureenlipman emiliafox edstoppard romanpolanski romanpolanski romanpolanski
80,361743,action drama u.s.navy sequel nuclearweapon military tomcruise milesteller jonhamm glenpowell lewispullman charlesparnell josephkosinski josephkosinski josephkosinski
81,670,drama thriller mystery action daughter rageandhate hostility hypnosis revenge loneliness torture baseonmanga anger catholic incest neo-noir southkorea hammer choimin-sik yooji-tae kanghye-jung kimbyeong-ok jidae-han ohdal-su parkchan-wook parkchan-wook parkchan-wook
82,429,western gold army bountyhunter hitman refugee antihero moralambiguity outlaw shootout spaghettiwestern americancivilwar dollartrilogy clinteastwood eliwallach leevancleef aldogiuffrè luigipistilli radarassimov sergioleone sergioleone sergioleone
83,389,drama courtcase court judge juror fathermurder class innocence puertorico baseonplayormusical blackandwhite courtroom courtroomdrama onelocation martinbalsam johnfiedler leej.cobb e.g.marshall jackklugman edwardbinns sidneylumet sidneylumet sidneylumet
84,50014,drama baseonnovelorbook mississippiriver exploitation racialsegregation racism writer maid 1960 emmastone violadavis octaviaspencer brycedallashoward jessicachastain annacamp tatetaylor tatetaylor tatetaylor
