tmdb_id,score_imdb,title,genres,poster_path,year,keywords,cast,director,watch_providers
694,7.878246706606212,The Shining,"Horror, Thriller",/9PtPnOJSH6pewElRlJPGqC5Gd3W.jpg,1980,"hotel, child abuse, based on novel or book, isolation, telepathy, delusion, snowstorm, colorado, seclusion, surrealism, alcoholism, premonition, psychic power, caretaker, loneliness, vision, domestic violence, postmodern, psychological thriller, writer, electronic music score, twins, labyrinth, alcoholic, blizzard, mutilation, bloody body of child, extrasensory perception, uxoricide, motherhood, filicide, snowed in, burial ground, hypothermia, haunted hotel, psychological disintegration, afi, pediatrician, repetition, mother son relationship, supernatural power, supernatural horror, ghost child, psychotronic film, writers-block, cabin fever, psychological horror, deal with the devil, nuclear family, avant garde, yosemite national park, twin sisters, identical twins, cult film","Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, Barry Nelson, Philip Stone, Joe Turkel, Anne Jackson, Tony Burton, Lia Beldam",Stanley Kubrick,
77338,7.87734446770181,The Intouchables,"Drama, Comedy",/1QU7HKgsQbGpzsJbJK4pAVQV9F5.jpg,2011,"friendship, male friendship, based on true story, masseuse, aristocrat, paragliding, interracial friendship, unlikely friendship, duringcreditsstinger, quadriplegic, quadriplegia","François Cluzet, Omar Sy, Dominique Henry, Anne Le Ny, Clotilde Mollet, Alba Gaïa Bellugi, Audrey Fleurot, Cyril Mendy, Christian Ameri, Marie-Laure Descoureaux",Éric Toledano,
497,7.876920249812838,The Green Mile,"Fantasy, Drama, Crime",/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,1999,"mentally disabled, based on novel or book, southern usa, psychopath, death row, jail guard, supernatural, great depression, prison guard, jail, electric chair, torture, magic realism, healing, 1930s, abuse of power","Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt, Michael Jeter, Doug Hutchison, Sam Rockwell, James Cromwell, Barry Pepper, Graham Greene",Frank Darabont,"8, 381, 1796, 531, 582, 1853"
205596,7.876098908707313,The Imitation Game,"History, Drama, Thriller, War",/zSqJ1qFq8NXFfi7JeIYMlzyR0dx.jpg,2014,"england, homophobia, world war ii, mathematician, genius, biography, male homosexuality, code breaking, lgbt, logician, cryptography, math genius, gay theme, codes","Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear, Allen Leech, Matthew Beard, Charles Dance, Mark Strong, James Northcote, Tom Goodman-Hill",Morten Tyldum,"8, 138, 1734, 1796, 531, 582, 1853, 1967"
1891,7.874908459414912,The Empire Strikes Back,"Adventure, Action, Science Fiction",/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,1980,"rebellion, android, spacecraft, asteroid, rebel, space battle, snowstorm, space colony, swamp, space opera, artic","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, David Prowse, Peter Mayhew, Kenny Baker, Frank Oz, Alec Guinness",Irvin Kershner,337
274,7.869622793781103,The Silence of the Lambs,"Crime, Drama, Thriller",/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,1991,"based on novel or book, kidnapping, psychopath, fbi, murder, serial killer, psychological thriller, brutality, cannibal, moth, virginia","Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald, Brooke Smith, Diane Baker, Kasi Lemmons, Frankie Faison, Tracey Walter",Jonathan Demme,"119, 381"
129,7.8695192186356095,Spirited Away,"Animation, Family, Fantasy",/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,2001,"witch, parent child relationship, darkness, bath house, magic, spirit, parallel world, amusement park, youkai, japanese mythology, anime","Rumi Hiiragi, Miyu Irino, Mari Natsuki, Takashi Naito, Yasuko Sawaguchi, Tsunehiko Kamijō, Takehiko Ono, Bunta Sugawara, Akio Nakamura, Yumi Tamai",Hayao Miyazaki,"8, 1796"
1124,7.86674233874762,The Prestige,"Drama, Mystery, Science Fiction",/tRNlZbgNCNOpLpbPEz5L8G8A0JN.jpg,2006,"dying and death, suicide, class society, magic, competition, obsession, hostility, class, diary, twist, tricks, illusion, rivalry, partner, steampunk, cruelty, hanging, jail cell, 19th century, nikola tesla, magician, tesla coil, bittersweet, secret, london, mind-blowing, depressing","Christian Bale, Hugh Jackman, Michael Caine, Scarlett Johansson, Rebecca Hall, David Bowie, Andy Serkis, Piper Perabo, Jim Piddock, Samantha Mahurin",Christopher Nolan,
424,7.866425554817211,Schindler's List,"Drama, History, War",/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,1993,"factory, hero, based on novel or book, nazi, concentration camp, ss (nazi schutzstaffel), holocaust (shoah), world war ii, ghetto, jew persecution, kraków, poland, defense industry, auschwitz-birkenau concentration camp, biography, based on true story, industrialist, historical fiction, black and white, train, poland, weapons manufacturer","Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall, Embeth Davidtz, Malgorzata Gebel, Shmuel Levy, Mark Ivanir, Béatrice Macola",Steven Spielberg,"119, 381, 138, 1734, 531, 582, 1853, 1967"
857,7.866149228545206,Saving Private Ryan,"Drama, History, War",/uqx37cS8cpHg8U35f9U5IBlrCV3.jpg,1998,"epic, army, airplane, self sacrifice, war veteran, war crimes, war ship, bravery, world war ii, normandy, france, parachute, troops, waffen ss, omaha beach, rescue mission, war memorial, cowardice, deserted town, based on true story, d-day, soldier, death, military, military operation, 1940s","Tom Hanks, Tom Sizemore, Edward Burns, Matt Damon, Barry Pepper, Adam Goldberg, Vin Diesel, Giovanni Ribisi, Ted Danson, Jeremy Davies",Steven Spielberg,"381, 531, 582, 1853"
